Record ID,Catalogue Number,Taxon Concept GUID,Scientific Name - original,Vernacular name - original,Scientific Name,Taxon Rank,Vernacular name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,Data Resource ID,Data Resource Name,Institution ID,Institution,Collection ID,Collection,Licence,Institution Code,Collection Code,Locality,Geodetic datum - original,Latitude,Longitude,Coordinate Precision,Coordinate Uncertainty in Metres,Country - parsed,State - parsed,Local Government Areas 2011,IMCRA 4 Regions,IBRA 7 Regions,Minimum elevation in meters,Maximum elevation in meters,Minimum depth in meters,Maximum depth in meters,Individual count,Collector,Year,Month,Day,Event Date - parsed,Verbatim event date,Basis Of Record - original,Basis Of Record,Occurrence status,Sex,Preparations,Outlier for layer,Taxonomic Quality,Location Quality
fba8e049-6ab2-49b7-868d-4e7413324149,SUP6482-3,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia ssp. diversifolia,Coastal White Mallee,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr366,SA Flora (BDBSA),,,,,CC-BY 4.0 (Int),,,,WGS84,-35.64384,137.1265,,250,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,DENNIS T.E. Terry | CROFT T.S. Tim,1989,11,16,1989-11-16,"16/NOV/89, D",HumanObservation,HumanObservation,present,,,,TRUE,TRUE
f9764cb0-b88c-4a1e-8534-3eaf8408f785,AD 98740032,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia Bonpl. ssp. diversifolia,,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr376,MEL AVH data,in41,"Department of Environment, Water and Natural Resources",co48,State Herbarium of South Australia,CC-BY 3.0 (Au),AD,AD,"Cape Gantheaume Conservation Park, South Coast",,-36.033333,137.516667,,1000,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,"Overton, B.M.",1985,11,16,1985-11-16,16-Nov-85,PreservedSpecimen,PreservedSpecimen,present,,,,TRUE,TRUE
f9665a45-8dbe-47e8-9595-a40312993f4e,CBG 7803123.1,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia Bonpl. subsp. diversifolia,,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr376,MEL AVH data,in5,Centre for Australian National Biodiversity Research,co12,Australian National Herbarium,CC-BY 3.0 (Au),CANB,CBG,"Western Highway, road to Karatta.",,-35.9833,136.9667,,10000,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,"Fraser, I.",1977,11,10,1977-11-10,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE
f93fd2dc-af5a-4dc6-8c0f-7c6a4dfada39,AD 95932070,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia Bonpl. ssp. diversifolia,,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr376,MEL AVH data,in41,"Department of Environment, Water and Natural Resources",co48,State Herbarium of South Australia,CC-BY 3.0 (Au),AD,AD,"Kelly Hill, c. 13 km ENE of Cape du Couedic",,-35.983333,136.9,,10000,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,"Wilson, P.G.",1958,11,5,1958-11-05,05-Nov-58,PreservedSpecimen,PreservedSpecimen,present,,,,TRUE,TRUE
f8acaa7e-2403-4fa0-85a6-2902dbe4e332,SUP6457-12,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia ssp. diversifolia,Coastal White Mallee,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr366,SA Flora (BDBSA),,,,,CC-BY 4.0 (Int),,,,WGS84,-35.83325,137.36179,,250,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,LANG P.J. Peter,1989,11,19,1989-11-19,"19/NOV/89, D",HumanObservation,HumanObservation,present,,,,TRUE,TRUE
f842d93a-ee86-48f4-8378-1d0b317804c7,SUP6306-4,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia ssp. diversifolia,Coastal White Mallee,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr366,SA Flora (BDBSA),,,,,CC-BY 4.0 (Int),,,,WGS84,-35.95439,136.99511,,250,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,BAXTER C.I. Chris | COPLEY P.B. Peter | FURNER R.T. Bob,1989,11,11,1989-11-11,"11/NOV/89, D",HumanObservation,HumanObservation,present,,,,TRUE,TRUE
f64ef783-fe4b-4814-89cb-768e1bf04621,AD 99028222,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia Bonpl. ssp. diversifolia,,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr376,MEL AVH data,in41,"Department of Environment, Water and Natural Resources",co48,State Herbarium of South Australia,CC-BY 3.0 (Au),AD,AD,13 km NW of Vivonne Bay,,-35.931389,137.048611,,150,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,"Barratt, R. | Kraehenbuehl, D.N.",1989,11,9,1989-11-09,09-Nov-89,PreservedSpecimen,PreservedSpecimen,present,,,,TRUE,TRUE
f44a6409-c096-43bf-99ad-1f5fa75de97e,SUP6396-2,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia ssp. diversifolia,Coastal White Mallee,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr366,SA Flora (BDBSA),,,,,CC-BY 4.0 (Int),,,Lesueur (CP),WGS84,-35.85084,138.05039,,250,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,NOT ENTERED - SEE ORIGINAL DATA  -,1989,11,17,1989-11-17,"17/NOV/89, D",HumanObservation,HumanObservation,present,,,,TRUE,TRUE
f1c5fc1f-4cdf-4a52-a8de-9b78de78904d,SUP6280-13,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia ssp. diversifolia,Coastal White Mallee,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr366,SA Flora (BDBSA),,,,,CC-BY 4.0 (Int),,,Flinders Chase (NP),WGS84,-35.95415,136.78112,,250,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,OVERTON B.M. Bev | BAXTER C.I. Chris | COPLEY P.B. Peter,1989,11,7,1989-11-07,"07/NOV/89, D",HumanObservation,HumanObservation,present,,,,TRUE,TRUE
f0b31066-a512-4968-bf2f-90ac99187ea2,OPP516476-3,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia ssp. diversifolia,Coastal White Mallee,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr366,SA Flora (BDBSA),,,,,CC-BY 4.0 (Int),,,43 (HA),WGS84,-35.85722,137.63183,,100,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,ADAMS B. Ben,2012,11,1,2012-11-01,"01/NOV/12, D",HumanObservation,HumanObservation,present,,,,TRUE,TRUE
ee53b11f-537f-4182-bb72-ec3cb580a424,SUP6500-74,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia ssp. diversifolia,Coastal White Mallee,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr366,SA Flora (BDBSA),,,,,CC-BY 4.0 (Int),,,Pelican Lagoon (CP),WGS84,-35.79899,137.78342,,250,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,COPLEY P.B. Peter | CANTY P.D. Peter,1990,11,5,1990-11-05,"05/NOV/90, D",HumanObservation,HumanObservation,present,,,,TRUE,TRUE
