latitude,longitude,bright_ti4,acq_date,instrument
-35.76263,137.06116,296.9,43819,VIIRS
-35.69582,136.90881,326.8,43819,VIIRS
-35.71136,136.96594,315.9,43819,VIIRS
-35.71017,136.96158,367,43819,VIIRS
-35.70082,136.9272,325.1,43819,VIIRS
-35.69709,136.91348,320.4,43819,VIIRS
-35.70901,136.95731,321.2,43819,VIIRS
-35.702,136.93152,367,43819,VIIRS
-35.7032,136.93593,350.7,43819,VIIRS
-35.71382,136.97501,341.2,43819,VIIRS
-35.69966,136.92291,298.9,43819,VIIRS
-35.71634,136.9843,340.8,43819,VIIRS
-35.71507,136.9796,367,43819,VIIRS
-35.69841,136.91832,305.6,43819,VIIRS
-35.7176,136.98891,334.1,43819,VIIRS
-35.69194,136.89459,298.3,43819,VIIRS
-35.72176,136.98212,347.9,43819,VIIRS
-35.72125,137.00238,311.2,43819,VIIRS
-35.74132,137.07646,316.8,43819,VIIRS
-35.71884,136.9935,296.6,43819,VIIRS
-35.71179,136.92322,340.9,43819,VIIRS
-35.72005,136.99796,296.2,43819,VIIRS
-35.74014,137.07211,313.8,43819,VIIRS
-35.7378,137.06346,297.6,43819,VIIRS
-35.73897,137.06778,319.1,43819,VIIRS
-35.70016,136.90257,367,43819,VIIRS
-35.7026,136.91154,321,43819,VIIRS
-35.71928,136.97299,347.2,43819,VIIRS
-35.70137,136.90706,331.6,43819,VIIRS
-35.71562,136.9595,367,43819,VIIRS
-35.70631,136.92523,367,43819,VIIRS
-35.70748,136.92953,348.4,43819,VIIRS
-35.70572,136.90085,335.4,43819,VIIRS
-35.71445,136.95518,311.4,43819,VIIRS
-35.72909,137.00919,331.4,43819,VIIRS
-35.72425,136.99132,321.2,43819,VIIRS
-35.72301,136.98677,367,43819,VIIRS
-35.70513,136.9209,297.7,43819,VIIRS
-35.69893,136.89807,306.2,43819,VIIRS
-35.70387,136.91623,314.6,43819,VIIRS
-35.71681,136.96388,315.8,43819,VIIRS
-35.74675,137.07446,317,43819,VIIRS
-35.7205,136.97752,297.4,43819,VIIRS
-35.71804,136.96843,303.3,43819,VIIRS
-35.74557,137.07011,317,43819,VIIRS
-35.72667,137.00024,305.5,43819,VIIRS
-35.72787,137.0047,304.5,43819,VIIRS
-35.71835,136.92522,322,43819,VIIRS
