"Record ID","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Precision","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Local Government Areas 2011","IMCRA 4 Regions","IBRA 7 Regions","Minimum elevation in meters","Maximum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Collector","Year","Month","Day","Event Date - parsed","Verbatim event date","Basis Of Record - original","Basis Of Record","Occurrence status","Sex","Preparations","Outlier for layer","Taxonomic Quality","Location Quality"
"342cf2ba-8020-4262-a597-94dae57ad321","M.40363.002","urn:lsid:biodiversity.org.au:afd.taxon:7a402ec9-f9f3-46f4-9cb1-701e0188c921","Macropus fuliginosus (Desmarest, 1817)","Western Grey Kangaroo","Macropus fuliginosus","species","Western Grey Kangaroo","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus fuliginosus","","dr340","Australian Museum provider for OZCAM","in4","Australian Museum","co80","Australian Museum Mammalogy Collection","CC-BY","AM","Mammalogy","","-35.816","137.516","","-35.816","137.516","","","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","","Beveridge, Dr Ian","1998","04","24","1998-04-24","","PreservedSpecimen","PreservedSpecimen","present","Female","","","true","true"
"31307350-cf8d-40f5-a2c7-c837103a7b16","OPM174107-1391603","urn:lsid:biodiversity.org.au:afd.taxon:7a402ec9-f9f3-46f4-9cb1-701e0188c921","Macropus fuliginosus","Western Grey Kangaroo","Macropus fuliginosus","species","Western Grey Kangaroo","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus fuliginosus","","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","","-35.53189","138.23471","WGS84","-35.53189","138.23471","","10000.0","Australia","South Australia","Yankalilla (DC)","","Kanmantoo","","","","","25","MAMMAL-CLUB-SA  N/A","1968","04","20","1968-04-20","20/APR/68,D","HumanObservation","HumanObservation","present","","","","true","true"
"2f8d86c3-ac4d-4f94-8d64-194bc507ef60","36860569","urn:lsid:biodiversity.org.au:afd.taxon:fa1029cf-803b-49bc-8d10-cca925ec1339","Macropus fuliginosus fuliginosus","","Macropus fuliginosus fuliginosus","subspecies","","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus fuliginosus","Macropus fuliginosus fuliginosus","dr1411","iNaturalist Australia","","","","","CC-BY-NC-Int","iNaturalist","Observations","","-35.9532873967","136.73542005","","-35.9532873967","136.73542005","","","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","","Fran W.","2010","04","18","2010-04-18","2010/04/18 1:00 PM CEST","HumanObservation","HumanObservation","present","","","","true","true"
"2bc2b87d-a052-408d-bda6-9dfd80f35534","OPM699111-1","urn:lsid:biodiversity.org.au:afd.taxon:7a402ec9-f9f3-46f4-9cb1-701e0188c921","Macropus fuliginosus","Western Grey Kangaroo","Macropus fuliginosus","species","Western Grey Kangaroo","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus fuliginosus","","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","Flinders Chase (NP)","-35.9479","136.78122","WGS84","-35.9479","136.78122","","5.0","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","1","HAMMOND P. Peter | FRIENDS OF PARKS KI WESTERN DISTRIC","2016","04","16","2016-04-16","16/APR/16,D","HumanObservation","HumanObservation","present","","","","true","true"
"286a08b3-a9ec-47d7-b591-f2b2e2e8f3e4","3441118","urn:lsid:biodiversity.org.au:afd.taxon:7a402ec9-f9f3-46f4-9cb1-701e0188c921","Macropus fuliginosus","","Macropus fuliginosus","species","Western Grey Kangaroo","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus fuliginosus","","dr1411","iNaturalist Australia","","","","","CC-BY-NC-Int","iNaturalist","Observations","","-35.8418087743","138.1311311392","","-35.8418087743","138.1311311392","","872.0","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","","","2016","04","15","2016-04-15","Fri Apr 15 2016 16:21:17 GMT+0930 (GMT+9:30)","HumanObservation","HumanObservation","present","","","","true","true"
"1f713cc5-ea5f-44f1-9d30-307b776ad7d7","OPM699161-3","urn:lsid:biodiversity.org.au:afd.taxon:7a402ec9-f9f3-46f4-9cb1-701e0188c921","Macropus fuliginosus","Western Grey Kangaroo","Macropus fuliginosus","species","Western Grey Kangaroo","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus fuliginosus","","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","Flinders Chase (NP)","-35.9479","136.78122","WGS84","-35.9479","136.78122","","5.0","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","1","HAMMOND P. Peter | FRIENDS OF PARKS KI WESTERN DISTRIC","2016","04","25","2016-04-25","25/APR/16,D","HumanObservation","HumanObservation","present","","","","true","true"
"1a4232aa-c24c-4f72-b76b-e5c93910146c","OPM699151-4","urn:lsid:biodiversity.org.au:afd.taxon:7a402ec9-f9f3-46f4-9cb1-701e0188c921","Macropus fuliginosus","Western Grey Kangaroo","Macropus fuliginosus","species","Western Grey Kangaroo","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus fuliginosus","","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","Flinders Chase (NP)","-35.9479","136.78122","WGS84","-35.9479","136.78122","","5.0","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","1","HAMMOND P. Peter | FRIENDS OF PARKS KI WESTERN DISTRIC","2016","04","23","2016-04-23","23/APR/16,D","HumanObservation","HumanObservation","present","","","","true","true"
"123c4ce2-1682-4c61-8c3f-6922d7c0bd03","OPM699259-2","urn:lsid:biodiversity.org.au:afd.taxon:7a402ec9-f9f3-46f4-9cb1-701e0188c921","Macropus fuliginosus","Western Grey Kangaroo","Macropus fuliginosus","species","Western Grey Kangaroo","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus fuliginosus","","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","Flinders Chase (NP)","-35.94831","136.78133","WGS84","-35.94831","136.78133","","5.0","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","1","HAMMOND P. Peter | FRIENDS OF PARKS KI WESTERN DISTRIC","2016","04","16","2016-04-16","16/APR/16,D","HumanObservation","HumanObservation","present","","","","true","true"
"0c9fcb9d-7338-4787-a57a-0e99535c4b2b","14709559","urn:lsid:biodiversity.org.au:afd.taxon:7a402ec9-f9f3-46f4-9cb1-701e0188c921","Macropus fuliginosus","","Macropus fuliginosus","species","Western Grey Kangaroo","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus fuliginosus","","dr1411","iNaturalist Australia","","","","","CC-BY-NC-Int","iNaturalist","Observations","","-35.841576","137.773315","","-35.841576","137.773315","","","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","","DM","2014","04","30","2014-04-30","2014/04/30 7:57 AM NZST","HumanObservation","HumanObservation","present","","","","true","true"
"0833a1bc-1eb5-4b52-a1a5-12bc6b990cec","OPM739375-3","urn:lsid:biodiversity.org.au:afd.taxon:7a402ec9-f9f3-46f4-9cb1-701e0188c921","Macropus fuliginosus","Western Grey Kangaroo","Macropus fuliginosus","species","Western Grey Kangaroo","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus fuliginosus","","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","","-35.9082","136.90717","WGS84","-35.9082","136.90717","","5.0","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","1","HAMMOND P. Peter | FRIENDS OF PARKS KI WESTERN DISTRIC","2017","04","04","2017-04-04","04/APR/17,D","HumanObservation","HumanObservation","present","","","","true","true"
