"Record ID","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Precision","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Local Government Areas 2011","IMCRA 4 Regions","IBRA 7 Regions","Minimum elevation in meters","Maximum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Collector","Year","Month","Day","Event Date - parsed","Verbatim event date","Basis Of Record - original","Basis Of Record","Occurrence status","Sex","Preparations","Outlier for layer","Taxonomic Quality","Location Quality"
"8accd406-4cd4-43b1-aa58-b27947a80ee0","WINC 028075","urn:lsid:biodiversity.org.au:afd.taxon:c413e82b-40ae-4473-8461-f80ab97f9342","","","Nasutitermes exitiosus","species","","Animalia","Arthropoda","Insecta","Blattodea","Termitidae","Nasutitermes","Nasutitermes exitiosus","","dr367","Waite Insect and Nematode Collection","in31","University of Adelaide","co74","Waite Insect and Nematode Collection","CC-BY","","WINC","Flinders Chase, Kangaroo Island","-35.85","136.8667","","-35.85","136.8667","","","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","50","D. C. S[wan]","","","","","19400100/19400200","preservedSpecimen","PreservedSpecimen","present","","alcohol","el882","true","true"
"489e628d-387c-4bc7-9f42-ad67a4116562","10-006877-035","urn:lsid:biodiversity.org.au:afd.taxon:c413e82b-40ae-4473-8461-f80ab97f9342","Nasutitermes exitiosus (Hill, 1925)","","Nasutitermes exitiosus","species","","Animalia","Arthropoda","Insecta","Blattodea","Termitidae","Nasutitermes","Nasutitermes exitiosus","","dr130","Australian National Insect Collection","in6","Commonwealth Scientific and Industrial Research Organisation","co13","Australian National Insect Collection","CC-BY","CSIRO","ANIC","Kangaroo Island (general)","-35.83333","137.25","WGS84","-35.83333","137.25","","25000.0","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","1","Hughes,W.","1930","11","16","1930-11-16","","PreservedSpecimen","PreservedSpecimen","present","unknown","","","true","true"
"410847eb-a3fa-4973-925c-467d240193e8","10-006896-060","urn:lsid:biodiversity.org.au:afd.taxon:c413e82b-40ae-4473-8461-f80ab97f9342","Nasutitermes exitiosus (Hill, 1925)","","Nasutitermes exitiosus","species","","Animalia","Arthropoda","Insecta","Blattodea","Termitidae","Nasutitermes","Nasutitermes exitiosus","","dr130","Australian National Insect Collection","in6","Commonwealth Scientific and Industrial Research Organisation","co13","Australian National Insect Collection","CC-BY","CSIRO","ANIC","Kangaroo Island (general)","-35.83333","137.25","WGS84","-35.83333","137.25","","25000.0","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","1","Griffiths,M.V.","1980","11","18","1980-11-18","","PreservedSpecimen","PreservedSpecimen","present","unknown","","","true","true"
"1c3cd75b-318d-475a-aa74-759ba3006b7b","10-006633-330","urn:lsid:biodiversity.org.au:afd.taxon:c413e82b-40ae-4473-8461-f80ab97f9342","Nasutitermes exitiosus (Hill, 1925)","","Nasutitermes exitiosus","species","","Animalia","Arthropoda","Insecta","Blattodea","Termitidae","Nasutitermes","Nasutitermes exitiosus","","dr130","Australian National Insect Collection","in6","Commonwealth Scientific and Industrial Research Organisation","co13","Australian National Insect Collection","CC-BY","CSIRO","ANIC","Kangaroo Island (general)","-35.83333","137.25","WGS84","-35.83333","137.25","","25000.0","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","1","Swan,D.C.","1940","02","","1940-02-01","","PreservedSpecimen","PreservedSpecimen","present","unknown","","","true","true"
