latitude,longitude,brightness,acq_date,instrument
-35.688,137.102,305.4,43821,MODIS
-35.698,137.105,320.5,43821,MODIS
-35.695,137.109,310.6,43821,MODIS
-35.698,137.096,306.1,43821,MODIS
-35.695,137.06,321.9,43821,MODIS
-35.685,137.057,307.6,43821,MODIS
-35.688,137.043,317.4,43821,MODIS
-35.704,136.889,306.4,43821,MODIS
-35.702,136.894,307.9,43821,MODIS
-35.711,136.89,351.2,43822,MODIS
-35.71,136.879,324.3,43822,MODIS
-35.698,137.051,362.2,43822,MODIS
-35.714,137.01,320,43822,MODIS
-35.695,137.075,310.6,43822,MODIS
-35.684,137.035,321.4,43822,MODIS
-35.697,137.07,347.7,43822,MODIS
-35.699,137.037,389.6,43822,MODIS
-35.697,137.042,400.6,43822,MODIS
-35.716,137.004,304.2,43822,MODIS
-35.712,137.044,334.2,43822,MODIS
-35.699,137.008,303.7,43822,MODIS
-35.714,137.039,329.2,43822,MODIS
-35.698,137.053,334.4,43822,MODIS
-35.7,137.069,302.3,43822,MODIS
-35.707,137.036,324.2,43822,MODIS
-35.709,137.051,318.4,43822,MODIS
-35.714,137.097,300.2,43822,MODIS
-35.688,137.055,317.1,43822,MODIS
-35.697,137.038,315.5,43822,MODIS
-35.686,137.04,315.9,43822,MODIS
-35.715,137.061,362.9,43823,MODIS
-35.701,137.022,385.3,43823,MODIS
-35.703,137.016,367.8,43823,MODIS
-35.713,137.067,364.7,43823,MODIS
-35.698,137.067,341.4,43823,MODIS
-35.707,137.025,340.4,43823,MODIS
-35.702,137.041,332.8,43823,MODIS
-35.686,136.952,326.8,43823,MODIS
-35.717,137.048,334.1,43823,MODIS
-35.705,137.046,343.3,43823,MODIS
-35.676,137.025,302.8,43823,MODIS
-35.708,137.05,328,43823,MODIS
-35.707,137.061,309,43823,MODIS
-35.68,137.023,330.4,43824,MODIS
-35.741,137.054,347.4,43824,MODIS
-35.717,137.054,311.8,43824,MODIS
-35.721,137.081,336.3,43826,MODIS
-35.834,136.773,349,43829,MODIS
-35.835,136.785,329,43829,MODIS
-35.826,136.787,363.6,43829,MODIS
-35.824,136.775,398.7,43829,MODIS
-35.83,136.767,351.4,43829,MODIS
-35.833,136.689,338.9,43829,MODIS
-35.84,136.718,350.7,43829,MODIS
-35.799,136.782,394.4,43829,MODIS
-35.827,136.713,379.3,43829,MODIS
-35.845,136.694,326.8,43829,MODIS
-35.812,136.786,379.3,43829,MODIS
-35.817,136.762,381.7,43829,MODIS
-35.839,136.777,312,43829,MODIS
-35.824,136.791,333.6,43829,MODIS
-35.804,136.757,408.3,43829,MODIS
-35.771,136.726,372.8,43829,MODIS
-35.773,136.697,311.8,43829,MODIS
-35.757,136.724,309.9,43829,MODIS
-35.8,136.792,301.6,43829,MODIS
-35.776,136.732,338.9,43829,MODIS
-35.778,136.703,316.9,43829,MODIS
-35.811,136.813,301.6,43829,MODIS
-35.768,136.729,321.8,43829,MODIS
-35.798,136.797,326.9,43829,MODIS
-35.8,136.815,308.2,43829,MODIS
-35.81,136.795,321.2,43829,MODIS
-35.757,136.73,306.9,43829,MODIS
-35.759,136.748,304,43829,MODIS
-35.78,136.77,337.7,43830,MODIS
-35.755,136.737,329.8,43830,MODIS
-35.77,136.732,393.6,43830,MODIS
-35.822,136.831,317.1,43830,MODIS
-35.809,136.712,351.8,43830,MODIS
-35.819,136.75,349.8,43830,MODIS
-35.825,136.706,340.5,43830,MODIS
-35.834,136.744,328.9,43830,MODIS
-35.801,136.721,350.8,43830,MODIS
-35.778,136.723,353,43830,MODIS
-35.813,136.794,344.7,43830,MODIS
-35.788,136.762,328.6,43830,MODIS
-35.803,136.756,327.6,43830,MODIS
-35.811,136.759,340.7,43830,MODIS
-35.832,136.709,345.5,43830,MODIS
-35.841,136.747,324.2,43830,MODIS
-35.817,136.715,344.7,43830,MODIS
-35.805,136.802,340.6,43830,MODIS
-35.746,136.756,443,43830,MODIS
-35.748,136.738,391.5,43830,MODIS
-35.735,136.754,319.3,43830,MODIS
-35.756,136.775,366.9,43830,MODIS
-35.757,136.758,387.6,43830,MODIS
